キーワード,検索数,商品数,購入数,購入率,トラフィック比率
シャツ レディース,8319,87554,19,0.23%,49.28%
レディース シャツ,3555,87362,7,0.20%,10.20%
速乾 tシャツ レディース,1841,85126,3,0.20%,8.60%
トップス レディース 夏,,73141,,0.00%,8.46%
レディース トップス 夏,1917,73420,1,0.10%,5.31%
